Year,Make,Model,Used/New,Price,ConsumerRating,ConsumerReviews,Drivetrain,MinMPG,MaxMPG,FuelType,Mileage
2016,ford,f-150xlt,used,34997,4.6,391,4wd,17,23,gasoline,23349
2020,acura,mdx3.5lw/technologypackage,used,45996,4.9,50,fwd,20,27,gasoline,15150
2019,toyota,tundrasr5,used,39989,4.8,126,4wd,13,17,gasoline,30136
2021,cadillac,escaladesport,used,107998,2.9,19,4wd,14,19,gasoline,28000
2020,chrysler,300s,used,34000,4.8,12,rwd,19,30,gasoline,47552
2021,chrysler,300s,used,28500,5.0,3,rwd,19,30,gasoline,26893
2018,honda,civiclx,used,20000,4.8,546,fwd,30,39,gasoline,42836
2013,mercedes-benz,sl-classsl550,used,39785,4.6,13,rwd,17,25,gasoline,45281
2020,infiniti,qx60pure,used,31599,4.8,39,fwd,20,27,gasoline,48522
2019,bmw,x5xdrive40i,certified,58992,4.7,55,awd,20,26,gasoline,17509
2020,infiniti,qx60pure,used,29449,4.8,39,fwd,20,27,gasoline,49926
2012,kia,sorentosx,used,4995,4.4,154,awd,18,24,gasoline,213000
2019,honda,civicsport,used,24995,4.9,275,fwd,25,36,gasoline,49051
2003,ford,taurusses,used,4388,4.2,62,fwd,20,27,gasoline,83368
2020,lexus,rx350base,used,47988,4.8,76,awd,19,26,gasoline,10913
2020,kia,sorentolx,used,28933,4.7,76,fwd,22,29,gasoline,21055
2019,toyota,tundrasr5,certified,39997,4.8,126,4wd,14,18,gasoline,36236
2010,lexus,ls460base,used,19990,4.7,27,rwd,16,24,gasoline,97315
2019,chevrolet,silverado1500custom,used,30490,4.3,245,rwd,16,21,gasoline,44844
2015,bmw,328i,used,15899,4.7,107,rwd,23,35,gasoline,48478
2021,porsche,macangts,certified,84888,4.9,3,awd,17,22,gasoline,7484
2021,land,roverrangeroversporthsesilveredition,used,86995,4.8,6,4wd,19,24,gasoline,14829
2018,bmw,320320ixdrive,used,22950,4.9,50,awd,23,34,gasoline,31948
2002,bmw,540i,used,22900,4.6,13,rwd,15,23,gasoline,81467
2016,porsche,cayennebase,used,28900,4.8,39,awd,19,24,gasoline,53065
2019,mazda,mazda3awdw/preferredpackage,used,16499,4.8,36,awd,25,33,gasoline,15875
2018,bmw,320ixdrive,used,24985,4.9,50,awd,23,34,gasoline,65946
2019,genesis,g803.8,used,38000,4.7,28,awd,18,24,gasoline,20870
2020,hyundai,santafesel2.4,used,28459,4.8,202,awd,21,27,gasoline,28466
2020,hyundai,santafesel2.4,used,31991,4.8,202,awd,21,27,gasoline,13924
2020,tesla,modelylongrange,used,65995,3.7,10,awd,127,114,electric,9561
2019,mercedes-benz,s-classs5604matic,certified,71242,4.6,14,awd,17,27,gasoline,25046
2013,toyota,highlanderbaseplus,used,20700,4.7,140,awd,17,22,gasoline,60419
2019,jeep,grandcherokeealtitude,used,33750,4.8,224,4wd,18,25,gasoline,25815
2020,acura,mdx3.5l,used,39412,4.9,50,awd,19,26,gasoline,12374
2017,bmw,m3base,used,55863,4.7,11,rwd,17,26,gasoline,19847
2020,toyota,tacomasr,used,33888,4.7,123,4wd,18,22,gasoline,18675
2020,acura,mdx3.5lw/technologypackage,used,39900,4.9,50,awd,19,26,gasoline,12304
2021,tesla,modelylongrange,used,71277,4.0,15,awd,131,117,electric,15002
2013,porsche,boxsters,used,57900,4.7,40,rwd,20,28,gasoline,23698
2010,mazda,mazda6sgrandtouring,used,9899,4.6,60,fwd,17,25,gasoline,97978
2018,toyota,4runnerlimited,used,39919,4.8,253,4wd,17,20,gasoline,46525
2019,subaru,forester,used,26200,4.7,279,awd,26,33,gasoline,30403
2018,cadillac,xt5premiumluxury,certified,33682,4.8,131,fwd,19,26,gasoline,45313
2020,tesla,modelylongrange,used,73992,3.7,10,awd,127,114,electric,12332
2019,bmw,x3sdrive30i,used,35400,4.7,99,rwd,23,30,gasoline,34565
2019,bmw,x3sdrive30i,used,31995,4.7,99,rwd,23,30,gasoline,57583
2012,toyota,4runnerlimited,used,24999,4.7,34,4wd,17,22,gasoline,151989
2018,honda,civicex-t,used,26955,4.8,546,fwd,31,40,gasoline,12123
2019,bmw,x5xdrive40i,used,54998,4.7,55,awd,20,26,gasoline,14950
2020,toyota,corollase,used,18500,4.7,233,fwd,31,40,gasoline,10514
2018,toyota,4runnerlimited,certified,42727,4.8,253,4wd,17,20,gasoline,39866
2020,ford,expeditionmaxlimited,used,49499,4.5,15,rwd,17,23,gasoline,59742
2022,honda,pilotelite,used,41300,5.0,1,awd,19,26,gasoline,3756
2022,honda,pilotelite,used,40000,5.0,1,awd,19,26,gasoline,4084
2014,subaru,forester2.5i,used,8800,4.4,214,awd,24,32,gasoline,154866
2021,subaru,forestersport,used,29700,4.9,109,awd,26,33,gasoline,13925
2020,ford,edgetitanium,used,34997,4.9,141,awd,21,28,gasoline,60802
2020,subaru,ascenttouring7-passenger,used,42505,4.8,83,awd,20,26,gasoline,12090
2019,chevrolet,silverado1500rst,used,47988,4.3,245,4wd,19,22,gasoline,26589
2020,lexus,rx450hlbase,used,56500,5.0,1,awd,29,28,hybrid,11559
2021,subaru,foresterpremium,used,28400,4.9,109,awd,26,33,gasoline,14634
2019,volvo,xc60t5inscription,used,40968,4.9,82,fwd,22,29,gasoline,34148
2019,volvo,xc60t5momentum,certified,43968,4.9,82,fwd,22,29,gasoline,32356
2019,volvo,xc40t5r-design,used,42962,4.8,103,awd,23,31,gasoline,15038
2020,bmw,x5sdrive40i,used,55901,4.7,53,rwd,21,26,gasoline,31831
2019,mazda,cx-5grandtouring,used,29895,4.8,230,fwd,25,31,gasoline,30322
2019,toyota,4runnerlimited,used,46991,4.8,189,4wd,17,20,gasoline,39855
2019,bmw,m850ixdrive,used,77480,5.0,5,awd,18,25,gasoline,34021
2020,dodge,challengersxt,certified,30595,4.9,72,rwd,19,30,gasoline,33296
2021,tesla,model3performance,used,65786,3.0,1,awd,118,107,gasoline,32600
2018,hyundai,santafelimitedultimate,used,24750,4.7,75,awd,17,22,gasoline,32770
2020,dodge,challengersxt,used,32290,4.9,72,rwd,19,30,gasoline,20396
2019,ford,f-150xlt,used,42995,4.8,425,4wd,18,23,gasoline,19615
2019,bmw,330ixdrive,used,39521,4.9,30,awd,25,34,gasoline,39669
2019,honda,cr-vex,used,28693,4.8,540,fwd,28,34,gasoline,30340
2016,toyota,4runnertrailpremium,used,36995,4.7,140,4wd,17,21,gasoline,50116
2020,acura,mdx3.5lw/technologypackage,used,41499,4.9,50,fwd,20,27,gasoline,30260
2017,subaru,impreza2.0i,used,16823,4.8,175,awd,28,38,gasoline,40060
2004,toyota,highlanderbase,used,5995,4.5,47,fwd,23,23,gasoline,204440
2003,lexus,rx300,used,9995,4.8,22,awd,18,22,gasoline,77792
2019,honda,cr-vex-l,certified,34499,4.8,540,awd,27,33,gasoline,36188
2019,toyota,4runnersr5,used,37998,4.8,189,rwd,17,21,gasoline,37750
2019,chevrolet,impalapremier2lz,used,26256,4.7,61,fwd,19,28,gasoline,55545
2019,bmw,x7xdrive50i,used,81749,4.1,22,awd,15,21,gasoline,27289
2008,mercedes-benz,s-classs5504matic,used,15800,4.8,43,awd,14,20,gasoline,89247
